golden_id,source_tweet_id,component_id,text,heuristic_intent,human_intent,difficulty,language_scope,annotator_notes
g0011,2252935,2092953,Preordered @118062 new CD &amp; was promised delivery today. Now @115821 @116316 says sorry it'll arrive some day. #NotGoodEnough,delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0012,928370,833553,"Earlier I could receive my @115850 product in 3-4 days. But after being a prime member, now thngs are not being delivered even in 7 days.😁",delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match | Prime mentioned as context; complaint is delivery speed.
g0013,2093913,1938996,".@115821 your delivery service sucks. ""Arriving today by 8pm"". Well here's my empty porch.
It's 8:15. My kids are asleep. Where is my movie? https://t.co/74PAwVJvlo",delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0014,2288844,2127756,The amazing jacket I ordered off amazon that was supposed to arrive by 8PM today has just been delayed . THIS IS A DESERT HEARTS FASHION EMERGENCY,delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0015,2291155,2130034,"@AmazonHelp Hi, need to change the delivery address for one of my orders. Kindly help.",delivery_issue,Address / Delivery Redirect Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match | Heuristic tagged delivery_issue only because 'address' loosely matched the delivery regex; message explicitly requests an address change.
g0016,2450576,2285368,@115830 Right this ridiculous I have waited all day for a guaranteed Sunday delivery it is unacceptable!!,delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0017,1101886,993906,@115821 If you use your own delivery service have sense enough to deliver to a business during business hours. 1st &amp; last pre-order thru you,delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match
g0018,2405210,2241381,@AmazonHelp @115850 Order No : 405-1690258-0505123 not delivered and msg comes attempted delivery made. No contact made by the delivery boy till date,delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0019,1183975,1070322,"@115821 where is my f************* cd ? Wu cds are rare, please deliver mine https://t.co/TFqrsK4FPW",delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0020,132387,105664,@115821 why are all prime orders placed today arriving Monday? I pay a fee for next day delivery.,delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match | Prime fee context; complaint is delivery timing.
g0021,1466802,1331630,"@115830 ur driver claims my parcel was delivered to an imaginary location,absolutely useless, customer service terrible and got hung up on",delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,"heuristic single-pattern match | No address correction requested, just a non-receipt/false-delivery-claim dispute."
g0022,669705,596429,@117093 are you going to deliver my order in time for Thanksgiving. Your driver went to the wrong house and skipped a delivery we are counting on.,delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Mentions driver went to wrong house, but the stated concern is timely arrival, not an address fix request."
g0023,1378496,1249020,So...@115821 did our delivery driver just take our food home with him?! https://t.co/oVqWTrCnRn,delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match | Food delivery apparently taken by the driver -- non-receipt issue.
g0024,2890575,2715638,".@115821 3 years ago when something said #PRIME and I ordered it, it arrived in 2 days, this last year it is a lucky day to get something in 2 days, The service has gone 2 shit, it's so unreliable, You should knock prime membership in half, it's bogus at the moment #AMAZON",delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match | Prime value complaint driven by delivery unreliability; no charge/cancel request.
g0025,2166078,2008694,@115830 why all deliveries for prime are only showing as Wednesday 29th? What happened to next day delivery? @AmazonHelp,delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match | Prime context; complaint is delivery timing.
g0026,1313390,1189721,@115850 A pkcg for delivery to Bhopal starts from Kanpur-indore-delhi-gurgaon-indore-bhopal.. why??? What a waste.,delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0027,137091,109976,Anyone else a paying @AmazonHelp PRIME member who has suddenly lost 1-day delivery options because they have prioritised #BlackFriday vultures?,delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match | Prime context; complaint is loss of a delivery option/speed.
g0028,793321,709443,"@AmazonHelp please look into USPS delivery in 11217 zip code. Parcels not delivered. Delivery notices not left. Tracking disappears into thin air. Consistent problems with USPS, it's a systemic issue in this area.",delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0029,1055382,951599,"@115830 So I pre-order a game over a month ago. To guarantee I received it on release day. ""Due to arrive by 8pm"" still at mailing center",delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0030,2837087,2663949,I don't think Amazon knows what 'One Day Delivery' means. It's Monday the 27th. https://t.co/rLO1QMlS1O,delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0031,465050,407979,@115850 you guys should come up with better verification details instead of asking while billing/ shipping addresses. Make the customer support more efficient and less time taking. #suggestion,unmatched_other,Other / Out of Scope,Medium,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | General UX/process suggestion, not a specific support request."
g0032,2049837,1894385,@115821 please add the option to use two payment methods. It denied my payment because my gift card did not cover it.,unmatched_other,Other / Out of Scope,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Feature request (multiple payment methods); not a refund/charge dispute.
g0033,396034,347352,amazon was supposed to ship my album on oct 4th and still hasn’t what the fuck im pissed off,unmatched_other,Delivery Issue,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Heuristic missed this (uses 'ship' not 'deliver'); shipment never went out -- a genuine delivery delay.
g0034,1891552,1737205,@115850 After talking to courier  i got to know that my pin code has been entered INCORRECT from your side. Kindly call me urgent,unmatched_other,Address / Delivery Redirect Issue,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Heuristic missed 'pin code entered INCORRECT' as an address problem.
g0035,63826,51800,Hi @115850 @AmazonHelp order number is 171-4216090-2817924 ordered wallet yesterday but there is no wallet in it . Got empty box . See to it asap . This is a fraud happening and you will loose a valuable customer now @3645 registered number 9873513970 https://t.co/LJvBBS8zB2,unmatched_other,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Ordered item; box arrived empty -- treated as a wrong/missing-item case.
g0036,1275039,1154203,"All issues resolved.Thanks Amazon @115851 #AmazonIndia Not going home but will celebrate this Diwali with you.Keep Lighting hearts,Cheers",unmatched_other,Other / Out of Scope,Easy,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Positive thank-you message, no support request."
g0037,868081,777792,"@115850....Now two question comes to my mind to use this app or not to use, to call at your customer desk or not to call, i placed 3 order",unmatched_other,Ambiguous,Hard,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Garbled/incomplete sentence; references an order and a decision to use the app or not, but no concrete issue is stated."
g0038,2827318,2654554,@115830 is this really what you class as handing direct to the customer? All the packaging is ruined and the product is wet as well. #Amazon https://t.co/NfHMtX4SYd,unmatched_other,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Package arrived wet and packaging ruined -- treated as a damaged-item report despite the heuristic missing the word 'damaged'.
g0039,1586749,1442737,"Had setup Amazon Echo dot but speaker quality is not that great for music, paired it with Bluetooth speaker my Bose Revolve and works great https://t.co/x7nvjmtDP2",unmatched_other,Other / Out of Scope,Easy,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Product commentary, not a support request."
g0040,1042311,939299,"@AmazonHelp Already done 3 times, 1st time on 16th Oct. and 2nd time on 17th Oct. and 3rd time today.",unmatched_other,Ambiguous,Hard,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | References redoing something 3 times without stating what the underlying issue is; not enough standalone context.
g0041,364012,317711,"@115850 Added money to pay balance, but not credited.. I need to recharge n win iphone8. Feeling cheated",unmatched_other,Ambiguous,Hard,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Payment/balance-credit issue tied to an unclear 'recharge and win' promotion; could plausibly be Refund, Unauthorized Charge, or Other depending on unstated context."
g0042,26852,20818,"@120474  hi there, it wont let me buy any, even 1 is exceeding the maximum amount for brighton?",unmatched_other,Other / Out of Scope,Medium,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Checkout/quantity-limit question, not covered by the 8 intents."
g0043,1351745,1225734,Amazonプライムビデオホンマ最高やな,unmatched_other,Unsupported Language,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Japanese text; heuristic's non-English marker list only covers Romance languages and missed this.
g0044,1520136,1380916,Note to self: don’t trust @115821’s Your Garage. Bf bought a trailer hitch for my van and they said it would fit it. NOPE. Not even close.,unmatched_other,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Item (trailer hitch) doesn't fit as described -- treated as a wrong-item case, though no explicit return request is stated."
g0045,890573,798728,So I placed an order today and it here 8 hours later. Thank you @115821 😁❤🙂,unmatched_other,Other / Out of Scope,Easy,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Positive feedback, no issue."
g0046,333187,291333,One of the reasons @115850 sucks sometimes. Shamelessly misspelling #TamilNadu https://t.co/R70CjwuOr0,unmatched_other,Other / Out of Scope,Easy,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Generic complaint (misspelling), not an actionable support intent."
g0047,1005649,905421,"@115850 getting 404 on hitting help link, video: https://t.co/W2svfKSNWX",unmatched_other,Other / Out of Scope,Medium,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Broken help-center link; a website bug, not one of the 8 support intents."
g0048,160417,131529,Great job with the packaging @115821 👍🏻 wasteful and not secure! https://t.co/gFWVVEAE5U,unmatched_other,Other / Out of Scope,Medium,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Packaging-quality feedback, no damaged item stated."
g0049,1427387,1295071,I'm not sure but why @115850 behaving like a fraud agency. I'm using their services and they just closed my account without any reason.,unmatched_other,Account Access / Security,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Heuristic missed 'closed my account without any reason' as an account-access issue.
g0050,646679,574608,Please can you do something about your very wasteful packaging @115830? A huge box for some envelopes - really?!,unmatched_other,Other / Out of Scope,Easy,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Packaging feedback.
g0051,1415542,1284073,"Ugh. Ordered some charging cords from @115821 and a month later it’s quit working. Tried to leave a review and the link to the product doesn’t work. First world problems, I guess. 🤷🏻‍♀️",unmatched_other,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Product stopped working after a month; also mentions an unrelated broken review link, but the defect is the concrete issue."
g0052,2275991,2115457,サンキューAmazon https://t.co/Em6xousnfS,unmatched_other,Unsupported Language,Easy,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Japanese; heuristic missed it (Romance-language markers only).
g0053,468242,411035,"Amazonパイセン仕事早い。
お昼前注文したのにもう出荷しました連絡きた。有能すぎる。。。。。。。
Amazonプライム最高〜〜〜〜 https://t.co/qKcmzy349E",unmatched_other,Unsupported Language,Easy,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Japanese; heuristic missed it.
g0054,508204,447400,amazon should stop leaving our packages at the front door... I just got home and saw my package all open... at least nothing was stealed,unmatched_other,Delivery Issue,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Complaint about delivery handling/security practice (leaving packages exposed).
g0055,2971863,2795273,@123644 @115821 assuming this is fake?? https://t.co/WEfAFmywMm,unmatched_other,Ambiguous,Hard,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | No context for what 'this' refers to; cannot determine a primary intent.
g0056,570845,505784,"@115821 you seriously have me on a list for like a thousand different emails, I do not give a shit about anything you have to say. It is all spam to me. And the fact that I have to unsubscribe every fucking day from a different email you send annoys me.",unmatched_other,Other / Out of Scope,Easy,in_scope_english_heuristic,"no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Marketing-email/spam complaint, not one of the 8 intents."
g0057,268165,231603,"Amazonバカになってんのかなー。

まとめて配達に指定したものがどうして四箱に分かれてしかもうち一つはゆうパックなのかなー",unmatched_other,Unsupported Language,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Japanese; heuristic missed it. Content is delivery/shipment-split related but language rule takes precedence per the taxonomy scope decision.
g0058,649702,577555,"@AmazonHelp Wie kann man denn ein abgelaufenes, beobachtetes Angebot wieder löschen? Der Button zum ent-beobachten fehlt und ist nur bei noch aktiven Angeboten da...",unmatched_other,Unsupported Language,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | German; heuristic missed it.
g0059,464263,407202,"@AmazonHelp 
質問をさせていただきます。
出品者から購入した商品の返品を要請して、返金対応の連絡をいただいたのですが、Amazonさんを通しての返金ということですが、何かすることはありますか？",unmatched_other,Unsupported Language,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Japanese; content is substantively a refund question but classified as Unsupported Language per the v1 scope decision.
g0060,2277879,2117244,Where does one tell @115821 that package placement is unacceptabl? Bottle of driveway doesn’t work for me.,unmatched_other,Delivery Issue,Medium,in_scope_english_heuristic,no heuristic pattern matched -- candidate Other/Out-of-Scope or missed phrasing | Complaint about delivery placement practice.
g0061,667781,594511,@115850 I haven't received my refund yet.Please look into the matter.It is showing that refund has been issued on 10th November but its not reflecting in my account.,refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example
g0062,2230356,2071237,"@115850 My Order# 403-4088100-8962766, not delivered on time inspite of paying additional money for fast delivery, apart from being a Prime Customer! Why give option of extra fee to deliver fast if you cant??? Pls refund extra delivery charge",refund_request,Refund Request,Medium,in_scope_english_heuristic,"heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example | Root cause is a delivery delay, but the concrete ask is a refund of the extra fee."
g0063,1362501,1234284,The supervisor hung up whilst I was checking where our food delivery is and now can’t refund me https://t.co/jcotN51ZUV,refund_request,Refund Request,Medium,in_scope_english_heuristic,"heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example | Delivery status mentioned, but explicit ask is a refund."
g0064,2688089,2518291,@AmazonHelp @115830 these orders (due oct 30th) never arrived. Can you refund me please? https://t.co/BcFFwCy07i,refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example
g0065,922703,828583,@AmazonHelp u rescheduled my order without contacting me...deliver it today or give a full refund and keep it with you...,refund_request,Refund Request,Medium,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example | Dual-option request (redeliver or refund); refund is an explicit stated option.
g0066,2824029,2651293,"@115821 @115850 @AmazonHelp 
 I askd for the refund on 21-11-17 on Amazon app. I entered my bank details. I haven't received the refund till now. On Amazon support they are saying that i'll get a cheque. Why will I get cheque i entered the bank details. I want my refund today. https://t.co/KgrKE3rc6C",refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example
g0067,959300,862173,@AmazonHelp As per ur email I hv added my bank account detail on 20/10 pls refund money,refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0068,183577,153445,Hey @AmazonHelp I received refund for last amazon prime but now see that the past two months have been charged..I am still being charged https://t.co/ZYYf2D21Bq,refund_request,Prime Membership Billing/Cancellation,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Heuristic matched on 'refund', but the live issue is an ongoing/erroneous Prime charge after a prior refund."
g0069,1140823,1029909,"@AmazonHelp @122924 thanks for leaving my parcel outside all day in the rain. So glad you did that for me. Amazon, think a refund is due",refund_request,Refund Request,Medium,in_scope_english_heuristic,heuristic single-pattern match | Root cause is delivery mishandling; explicit stated ask is a refund.
g0070,881126,789927,"@AmazonHelp can I get a refund if I’ve used the gift cardboard but haven’t used the money , i liven in the ik and used an American one",refund_request,Refund Request,Medium,in_scope_english_heuristic,heuristic single-pattern match | Refund eligibility question tied to a gift card.
g0071,334500,292574,@AmazonHelp My refund is taking a very lomg time,refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0072,2254394,2094294,@AmazonHelp  seriously for the last 3 months waiting for my refund no one is helping me . Bank told me that transaction number is incorrect and you are saying please contact bank . I am fed up from all this . Already sent bank statement to u (1/2),refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0073,1738930,1586434,@115821 @AmazonHelp  Mr Amazon fucking service i have purchase a blood machine till now i did not get my refund fuck,refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0074,2419939,2255829,"@AmazonHelp would you please take a minute to realise the fact the my 26,000/- INR is stuck up with you and please refund it back. https://t.co/wrWbxZvSQR",refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0075,845280,756795,@AmazonHelp was meant to be getting a refund and Amazon took more money out of my account! Tried phoning but Josh didn't listen! Fuming!!,refund_request,Unauthorized / Non-Prime Charge,Hard,in_scope_english_heuristic,"heuristic single-pattern match | Combines an expected-but-missing refund with a newly reported extra charge; the concrete new complaint (money taken out) is the charge dispute, chosen as primary over the pre-existing refund expectation."
g0076,348963,304972,"@115850 order 408-0591763-9379520
refund rqstd. on 21st Sept. today is 8th Oct..
product was collected after 1 mnth when a rev pickup scd. https://t.co/PRyexirG40",refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0077,865864,775696,@115850 I have not yet received my refund into my account even after following Charge Dispute. This is now getting worse.,refund_request,Refund Request,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Mentions 'Charge Dispute' process by name, but the live complaint is a refund not received, not disputing the charge itself."
g0078,597909,531781,@115850 my refund is pending for order number 408-9267057-1883543  .   #9572776786,refund_request,Refund Request,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0079,2419967,2255858,"@115830 ""People do not buy an Echo Dot"" as i have just spent 2 hours on the phone been passed between Audible and Echo departments, trying to link my Audible with my Echo Dot. Will be sending back for a full refund!!!",refund_request,Refund Request,Medium,in_scope_english_heuristic,"heuristic single-pattern match | No defect/wrong item stated; wants to send back an unsatisfactory device for money back -- classified by the stated goal (refund), not as a Return."
g0080,2602906,2433811,"@115830 4 months after purchase these “amazon basics, taotronics” earphones have packed in. Won’t take a charge or turn on. How do I exchange or get a refund on these? https://t.co/l3toAfNQO5",refund_request,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Heuristic matched on 'refund', but the item is explicitly defective (won't charge/turn on) and exchange is co-requested -- Return is the better fit per the stated defect."
g0081,631745,560543,"@115821 So, if I return it, y spend 31$, plus delivery costs, and get no book. It’s really unfair and stupid",return_wrong_damaged,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example | Complaint about the cost/fairness of returning an item; topic is fundamentally a return.
g0082,1586199,1442200,Day 3 after the reverse pick up of damaged bag that was delivered and @115850 is still clueless about refund https://t.co/RPghM4NBkB,return_wrong_damaged,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,heuristic multi-pattern match (3 patterns) -- candidate ambiguous/confusable example | Damaged item already in the return process; refund status is secondary.
g0083,1574266,1430864,@AmazonHelp Was sold fraudulent item at @115821. Rep assured me of full refund per A-Z Guarantee. I returned item. AMZN reneged. Help please,return_wrong_damaged,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example | Fraudulent/wrong item already returned; refund promise being broken is the newer complaint but originating issue is the item itself.
g0084,1182467,1068985,@AmazonHelp I need to inquire about returned shipping fees. I purchased overnight delivery but here we are. The next day. No package,return_wrong_damaged,Ambiguous,Hard,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example | Conflates a returned-shipping-fee question with a separate non-delivery complaint; unclear if they're the same order or which is primary.
g0085,1073280,967267,"@115821 Help pls 1) item arrived damaged 2) No confirmatory email from amazon 3) No details on amazon acct! Looks fishey, I need to DM photo",return_wrong_damaged,Return / Wrong or Damaged Item,Easy,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example
g0086,2760869,2589616,"@115850 Dear Jeff,
ORDER # 403-4168109-2373116 is recieved damaged product
I want to replace my product otherwise you refund  updated product amount 1870.
As per your representative  product is not replaced ony refond this is very bad services. https://t.co/7gyv1cVJE1",return_wrong_damaged,Return / Wrong or Damaged Item,Easy,in_scope_english_heuristic,heuristic multi-pattern match (2 patterns) -- candidate ambiguous/confusable example
g0087,600288,533845,@115830 I want to return something but the app is telling me item is not returnable. How do I find out why?,return_wrong_damaged,Return / Wrong or Damaged Item,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0088,2624489,2455109,"@115821, why do I have to do work when you send the wrong item...It's also personal care and there's no way of knowing if its been used...",return_wrong_damaged,Return / Wrong or Damaged Item,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0089,2275938,2115405,"@115850 this is a replacement shipment and look at the packaging...again!!! 

Who ships a poster this way?!? https://t.co/Zokebi4jWZ",return_wrong_damaged,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,heuristic single-pattern match | Replacement shipment poorly packaged/likely damaged.
g0090,124024,98046,@115821 sent a book to my father for a gift this week and the spine was already separated from the binding.  How can I request a replacement?,return_wrong_damaged,Return / Wrong or Damaged Item,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0091,1310943,1187356,What is the time frame turnaround for @AmazonHelp's gift card department to reply about a damaged gift card? Sent photos of card and receipt,return_wrong_damaged,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,heuristic single-pattern match | Damaged gift card -- slightly unusual 'item' but fits the damaged-item definition.
g0092,1091644,984376,"@115850 dear amazon, I have purchased wrong item but I am not unable to replace another product against this item, please help",return_wrong_damaged,Return / Wrong or Damaged Item,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0093,2471066,2305599,"Amazing customer service from @AmazonHelp Live Chat this morning when returning some puppy purchases. The advisor's first question?...

""What breed is your puppy?!""",return_wrong_damaged,Other / Out of Scope,Medium,in_scope_english_heuristic,heuristic single-pattern match | Positive anecdote about a return interaction; no active issue to resolve.
g0094,911958,818407,Seems e-shop supply duplicate item as 2 laptop from @122951 and one laptop and one mobile from @115850 which I got are defective 😡,return_wrong_damaged,Return / Wrong or Damaged Item,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0095,2881913,2707149,"@AmazonHelp How do I see my messages? Need to send some photos to a seller since they requested them, (defective product) but unsure if attaching them to an email would work.",return_wrong_damaged,Other / Out of Scope,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Concrete question asked is a how-to about the messaging feature, only tangentially tied to a defective-product context."
g0096,162016,133050,Really upset with @AmazonHelp and @115821 today. Their level of service has been atrocious regarding my @4263 Mavic purchase. I may just return it and purchase it directly from @4263. And cancel my Amazon card.,return_wrong_damaged,Other / Out of Scope,Hard,in_scope_english_heuristic,"heuristic single-pattern match | Vague dissatisfaction; 'may just return it' is contemplation, not a concrete return/cancellation request."
g0097,2898964,2723809,@115850   I need to return defective iBall power bank. Customercare numbers are almost impossible to get through,return_wrong_damaged,Return / Wrong or Damaged Item,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0098,465143,408070,"@115851 If I received a gift purchased on Amazon, how does one return/exchange this???",return_wrong_damaged,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,"heuristic single-pattern match | General how-to question about returning a gift, not tied to a specific defect."
g0099,2950677,2774343,@115830 I'm looking to return 2 items I've received today in one parcel. Why am I being charged £3.99 for each item? Even though I've just packed them in the original packaging.,return_wrong_damaged,Return / Wrong or Damaged Item,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Return process/fee question; fee complaint is tied directly to the return, not a separate billing dispute."
